gid,funderid,fundername,awardid,value,popdate,fundagency,fundsubagency,fundoffice,psc,naics,ruei,rcage,rparuei
6697,https://openalex.org/F4320306084,U.S. Department of Energy,DE-SC0012702,,,,,,,,,,
6721,https://openalex.org/F4320337480,Basic Energy Sciences,DE-SC0010378,,,,,,,,,,
6724,https://openalex.org/F4320332180,Defense Advanced Research Projects Agency,ONISQ,,,,,,,,,,
6725,https://openalex.org/F4320309369,Massachusetts Institute of Technology,Jacobs Presidential Fellowship,,,,,,,,,,
6726,https://openalex.org/F4320306084,U.S. Department of Energy,Quantum Systems Accelerator (QSA),,,,,,,,,,
6727,https://openalex.org/F4320308269,Alexander von Humboldt-Stiftung,Feodor Lynen Research Fellowship,,,,,,,,,,
6728,https://openalex.org/F4320306078,U.S. Department of Defense,NDSEG Fellowship,,,,,,,,,,
6729,https://openalex.org/F4320306271,Damon Runyon Cancer Research Foundation,DFS 38‐20,,,,,,,,,,
6730,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550‐22‐1‐0207,,,,,,,,,,
6731,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550‐20‐1‐0066,,,,,,,,,,
6732,https://openalex.org/F4320306076,National Science Foundation,DMR‐1751736,,,,,,,,,,
6733,https://openalex.org/F4320306076,National Science Foundation,DMR‐2224948,,,,,,,,,,
6734,https://openalex.org/F4320338281,Army Research Office,W911NF2120214,,,,,,,,,,
7832,https://openalex.org/F4320332180,Defense Advanced Research Projects Agency,"CoCoSys, one of seven centers in JUMP 2.0, a Semiconductor Research Corporation (SRC) program",,,,,,,,,,
6739,https://openalex.org/F4320306076,National Science Foundation,1943275,,,,,,,,,,
6740,https://openalex.org/F4320337345,Office of Naval Research,N00014-21-1-2502,,,,,,,,,,
6741,https://openalex.org/F4320320373,National Stroke Foundation,CCF-1562041,,,,,,,,,,
6742,https://openalex.org/F4320337345,Office of Naval Research,N00014-16-2374,,,,,,,,,,
6744,https://openalex.org/F4320306076,National Science Foundation,1532591,,,,,,,,,,
6745,https://openalex.org/F4320337345,Office of Naval Research,N00014-18-1-2828,,,,,,,,,,
6746,https://openalex.org/F4320332180,Defense Advanced Research Projects Agency,HR001120S0045 Invisible Headlights,,,,,,,,,,
6748,https://openalex.org/F4320332161,National Institutes of Health,IMPAcTB 75N93019C00071,,,,,,,,,,
6752,https://openalex.org/F4320337480,Basic Energy Sciences,ERKCK47,,,,,,,,,,
6753,https://openalex.org/F4320306164,Simons Foundation,81463,,,,,,,,,,
6755,https://openalex.org/F4320337345,Office of Naval Research,N00014-18-1-2765,,,,,,,,,,
6756,https://openalex.org/F4320337346,National Institute of Mental Health,R01 MH109464,,,,,,,,,,
6757,https://openalex.org/F4320321730,Fonds Wetenschappelijk Onderzoek,12A3923N,,,,,,,,,,
6758,https://openalex.org/F4320337351,National Cancer Institute,R01 CA258269-01,,,,,,,,,,
6771,https://openalex.org/F4320306076,National Science Foundation,DGE-1747503,,,,,,,,,,
6760,https://openalex.org/F4320306078,U.S. Department of Defense,USSOCOM Contract No. H9240520D0001,,,,,,,,,,
6761,https://openalex.org/F4320332359,Office of Science,Contract No. DE-AC02-06CH11357,,,,,,,,,,
6762,https://openalex.org/F4320306076,National Science Foundation,MPS-Ascend Award No. 2138167,,,,,,,,,,
6763,https://openalex.org/F4320306076,National Science Foundation,1751739,,,,,,,,,,
6764,https://openalex.org/F4320338279,Air Force Office of Scientific Research,A9550-19-1-0063,,,,,,,,,,
6765,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550-19-1-0392,,,,,,,,,,
6766,https://openalex.org/F4320332276,Advanced Research Projects Agency - Energy,DE-AR0001218,,,,,,,,,,
6767,https://openalex.org/F4320315934,Toyota Research Institute,AMDD,,,,,,,,,,
6768,https://openalex.org/F4320306076,National Science Foundation,"1909999,1942888",,,,,,,,,,
6772,https://openalex.org/F4320332161,National Institutes of Health,R01 HG010959,,,,,,,,,,
6773,https://openalex.org/F4320319952,Canada Foundation for Innovation,JELF,,,,,,,,,,
6786,https://openalex.org/F4320332180,Defense Advanced Research Projects Agency,D18AC00024,,,,,,,,,,
6774,https://openalex.org/F4320320994,Canada Research Chairs,"",,,,,,,,,,
6775,https://openalex.org/F4320334593,Natural Sciences and Engineering Research Council of Canada,RGPIN-04973,,,,,,,,,,
6776,https://openalex.org/F4320306078,U.S. Department of Defense,TS200035,,,,,,,,,,
6777,https://openalex.org/F4320332161,National Institutes of Health,F30 CA236179,,,,,,,,,,
6778,https://openalex.org/F4320306076,National Science Foundation,DMR180819,,,,,,,,,,
6779,https://openalex.org/F4320306076,National Science Foundation,DMR1419807,,,,,,,,,,
6780,https://openalex.org/F4320337531,"Defense Sciences Office, DARPA",HR00111810001,,,,,,,,,,
6781,https://openalex.org/F4320306202,Gordon and Betty Moore Foundation,GBMF-4306,,,,,,,,,,
6782,https://openalex.org/F4320338281,Army Research Office,W911NF1610199,,,,,,,,,,
6783,https://openalex.org/F4320310490,Villum Fonden,25880,,,,,,,,,,
