gid,funderid,fundername,awardid,value,popdate,fundagency,fundsubagency,fundoffice,psc,naics,ruei,rcage,rparuei
968,https://openalex.org/F4320306076,National Science Foundation,DMR-1720139,,,,,,,,,,
2,https://openalex.org/F4320332161,National Institutes of Health,P30 (CA008748),,,,,,,,,,
8,https://openalex.org/F4320321001,National Natural Science Foundation of China,51871092,,,,,,,,,,
3,https://openalex.org/F4320332959,Defense Human Resources Activity,CA210784,,,,,,,,,,
7,https://openalex.org/F4320321001,National Natural Science Foundation of China,12172123,,,,,,,,,,
7726,https://openalex.org/F4320337395,Division of Emerging Frontiers in Research and Innovation,EFMA-164098,,,,,,,,,,
20,https://openalex.org/F4320306159,W. M. Keck Foundation,https://openalex.org/F4320306159,,,,,,,,,,
21,https://openalex.org/F4320320879,Deutsche Forschungsgemeinschaft,https://openalex.org/F4320320879,,,,,,,,,,
1,https://openalex.org/F4320322252,Israel Science Foundation,302/21,,,,,,,,,,
22,,Defense Human Resources Activity,,,,,,,,,,,
23,,Israel Science Foundation,,,,,,,,,,,
24,,National Institutes of Health,,,,,,,,,,,
25,,National Science Foundation,,,,,,,,,,,
26,,National Natural Science Foundation of China,,,,,,,,,,,
27,,Foundation for Innovative Research Groups of the National Natural Science Foundation of China,,,,,,,,,,,
28,,National Natural Science Foundation of China,,,,,,,,,,,
29,,National Science Foundation,,,,,,,,,,,
30,,National Natural Science Foundation of China,,,,,,,,,,,
31,,National Natural Science Foundation of China,,,,,,,,,,,
32,,National Science Foundation,,,,,,,,,,,
33,,National Science Foundation,,,,,,,,,,,
34,,National Science Foundation,,,,,,,,,,,
35,,Army Research Office,,,,,,,,,,,
36,,National Science Foundation,,,,,,,,,,,
37,,National Natural Science Foundation of China,,,,,,,,,,,
38,,Office of Naval Research,,,,,,,,,,,
39,,King Abdullah University of Science and Technology,,,,,,,,,,,
40,,National Key Research and Development Program of China,,,,,,,,,,,
41,,National Natural Science Foundation of China,,,,,,,,,,,
42,,Army Research Office,,,,,,,,,,,
43,,National Natural Science Foundation of China,,,,,,,,,,,
44,,National Natural Science Foundation of China,,,,,,,,,,,
45,,National Key Research and Development Program of China,,,,,,,,,,,
46,,National Natural Science Foundation of China,,,,,,,,,,,
47,,Army Research Office,,,,,,,,,,,
48,,National Natural Science Foundation of China,,,,,,,,,,,
49,,King Abdullah University of Science and Technology,,,,,,,,,,,
50,,National Natural Science Foundation of China,,,,,,,,,,,
51,,Science and Technology Commission of Shanghai Municipality,,,,,,,,,,,
52,,National Natural Science Foundation of China,,,,,,,,,,,
53,,National Natural Science Foundation of China,,,,,,,,,,,
54,,National Natural Science Foundation of China,,,,,,,,,,,
55,,National Natural Science Foundation of China,,,,,,,,,,,
56,,National Natural Science Foundation of China,,,,,,,,,,,
57,,National Natural Science Foundation of China,,,,,,,,,,,
58,,China Postdoctoral Science Foundation,,,,,,,,,,,
59,,Natural Science Foundation of Jiangsu Province,,,,,,,,,,,
8199,https://openalex.org/F4320322392,Tsinghua University,2022660219,,,,,,,,,,
8200,https://openalex.org/F4320338281,Army Research Office,W911NF2320057,,,,,,,,,,
60,,China Postdoctoral Science Foundation,,,,,,,,,,,
61,,Vehicle Technologies Office,,,,,,,,,,,
62,,Air Force Office of Scientific Research,,,,,,,,,,,
82,,Army Research Office,,,,,,,,,,,
83,,DEVCOM Army Research Laboratory,,,,,,,,,,,
84,,National Science Foundation,,,,,,,,,,,
63,,U.S. Army Corps of Engineers,,,,,,,,,,,
64,,Office of Naval Research,,,,,,,,,,,
65,,Army Research Office,,,,,,,,,,,
66,,Office of Naval Research,,,,,,,,,,,
85,,Basic Energy Sciences,,,,,,,,,,,
86,,Army Research Office,,,,,,,,,,,
87,,Natural Science Foundation of Zhejiang Province,,,,,,,,,,,
88,,Science and Engineering Research Board,,,,,,,,,,,
89,,Army Research Office,,,,,,,,,,,
90,,Science and Engineering Research Board,,,,,,,,,,,
91,,Division of Materials Research,,,,,,,,,,,
92,,National Science Foundation,,,,,,,,,,,
67,,National Science Foundation,,,,,,,,,,,
68,,Air Force Office of Scientific Research,,,,,,,,,,,
69,,National Science Foundation,,,,,,,,,,,
70,,National Science Foundation,,,,,,,,,,,
71,,National Science Foundation,,,,,,,,,,,
72,,Office of Science,,,,,,,,,,,
73,,Basic Energy Sciences,,,,,,,,,,,
74,,Army Research Office,,,,,,,,,,,
75,,Gordon and Betty Moore Foundation,,,,,,,,,,,
76,,National Science Foundation,,,,,,,,,,,
77,,U.S. Department of Commerce,,,,,,,,,,,
78,,Army Research Office,,,,,,,,,,,
79,,National Science Foundation,,,,,,,,,,,
80,,National Natural Science Foundation of China,,,,,,,,,,,
81,,National Science Foundation,,,,,,,,,,,
93,,National Science Foundation,,,,,,,,,,,
94,,National Science Foundation,,,,,,,,,,,
95,,Deutsche Forschungsgemeinschaft,,,,,,,,,,,
96,,Air Force Office of Scientific Research,,,,,,,,,,,
97,,Development and Reform Commission of Shenzhen Municipality,,,,,,,,,,,
98,,Shenzhen Fundamental Research Program,,,,,,,,,,,
99,,Russian Science Foundation,,,,,,,,,,,
100,,Office of Naval Research,,,,,,,,,,,
101,,Army Research Office,,,,,,,,,,,
102,,National Science Foundation,,,,,,,,,,,
103,,Office of Naval Research,,,,,,,,,,,
104,,National Science Foundation,,,,,,,,,,,
105,,U.S. Department of Energy,,,,,,,,,,,
106,,Gordon and Betty Moore Foundation,,,,,,,,,,,
107,,National Science Foundation,,,,,,,,,,,
108,,Danmarks Frie Forskningsfond,,,,,,,,,,,
109,,Defense Advanced Research Projects Agency,,,,,,,,,,,
110,,"Teknologi og Produktion, Det Frie Forskningsråd",,,,,,,,,,,
111,,National Science Foundation,,,,,,,,,,,
112,,National Natural Science Foundation of China,,,,,,,,,,,
113,,Generalitat Valenciana,,,,,,,,,,,
114,,Institute for Basic Science,,,,,,,,,,,
115,,Generalitat Valenciana,,,,,,,,,,,
116,,Fundação para a Ciência e a Tecnologia,,,,,,,,,,,
117,,Fundamental Research Fund of Shandong University,,,,,,,,,,,
118,,Office of Naval Research,,,,,,,,,,,
119,,National Natural Science Foundation of China,,,,,,,,,,,
120,,National Natural Science Foundation of China,,,,,,,,,,,
121,,China Scholarship Council,,,,,,,,,,,
122,,National Institutes of Health,,,,,,,,,,,
123,,National Natural Science Foundation of China,,,,,,,,,,,
124,,National Natural Science Foundation of China,,,,,,,,,,,
125,,National Institutes of Health,,,,,,,,,,,
126,,National Natural Science Foundation of China,,,,,,,,,,,
127,,National Institutes of Health,,,,,,,,,,,
128,,National Cancer Institute,,,,,,,,,,,
129,,American Cancer Society,,,,,,,,,,,
130,,National Institutes of Health,,,,,,,,,,,
131,,National Research Foundation of Korea,,,,,,,,,,,
132,,National Research Foundation of Korea,,,,,,,,,,,
133,,National Research Foundation of Korea,,,,,,,,,,,
134,,National Research Foundation of Korea,,,,,,,,,,,
135,,National Research Foundation of Korea,,,,,,,,,,,
136,,National Science Foundation,,,,,,,,,,,
137,,National Science Foundation,,,,,,,,,,,
138,,National Science Foundation,,,,,,,,,,,
139,,National Science Foundation,,,,,,,,,,,
140,,National Science Foundation,,,,,,,,,,,
141,,National Science Foundation,,,,,,,,,,,
142,,National Science Foundation,,,,,,,,,,,
143,,National Science Foundation,,,,,,,,,,,
144,,National Natural Science Foundation of China,,,,,,,,,,,
145,,"Higher Education Commision, Pakistan",,,,,,,,,,,
146,,National Science Foundation,,,,,,,,,,,
147,,Office of Naval Research,,,,,,,,,,,
148,,National Cancer Institute,,,,,,,,,,,
149,,National Cancer Institute,,,,,,,,,,,
150,,U.S. Department of Defense,,,,,,,,,,,
151,,U.S. Department of Defense,,,,,,,,,,,
152,,National Cancer Institute,,,,,,,,,,,
153,,Army Research Office,,,,,,,,,,,
154,,Terry Fox Research Institute,,,,,,,,,,,
155,,BC Cancer Foundation,,,,,,,,,,,
156,,Canadian Institutes of Health Research,,,,,,,,,,,
157,,U.S. Department of Defense,,,,,,,,,,,
158,,Canadian Institutes of Health Research,,,,,,,,,,,
159,,Canadian Institutes of Health Research,,,,,,,,,,,
160,,Canadian Institutes of Health Research,,,,,,,,,,,
161,,National Institutes of Health,,,,,,,,,,,
162,,Canadian Institutes of Health Research,,,,,,,,,,,
163,,Cancer Research Society,,,,,,,,,,,
164,,Canadian Institutes of Health Research,,,,,,,,,,,
165,,Prostate Cancer UK,,,,,,,,,,,
166,,Engineering and Physical Sciences Research Council,,,,,,,,,,,
167,,Office of Naval Research,,,,,,,,,,,
168,,King Abdullah University of Science and Technology,,,,,,,,,,,
169,,National Natural Science Foundation of China,,,,,,,,,,,
170,,National Natural Science Foundation of China,,,,,,,,,,,
171,,Army Research Office,,,,,,,,,,,
172,,City University of Hong Kong,,,,,,,,,,,
173,,National Natural Science Foundation of China,,,,,,,,,,,
174,,National Science Foundation,,,,,,,,,,,
175,,Army Research Office,,,,,,,,,,,
176,,National Science Foundation,,,,,,,,,,,
177,,Army Research Office,,,,,,,,,,,
7727,https://openalex.org/F4320337531,"Defense Sciences Office, DARPA",HR00111820046,,,,,,,,,,
5212,https://openalex.org/F4320332180,Defense Advanced Research Projects Agency,W911NF2020003,,,,,,,,,,
182,https://openalex.org/F4320306084,U.S. Department of Energy,DE‐SC0012704,,,,,,,,,,
195,https://openalex.org/F4320322320,King Abdullah University of Science and Technology,ORA‐CRG10‐2021‐4665,,,,,,,,,,
5213,https://openalex.org/F4320332180,Defense Advanced Research Projects Agency,W911NF2020010,,,,,,,,,,
199,https://openalex.org/F4320321001,National Natural Science Foundation of China,12134017,,,,,,,,,,
200,https://openalex.org/F4320321001,National Natural Science Foundation of China,12074057,,,,,,,,,,
198,https://openalex.org/F4320338281,Army Research Office,W911NF‐20‐2‐0166,,,,,,,,,,
187,https://openalex.org/F4320321001,National Natural Science Foundation of China,12225205,,,,,,,,,,
196,https://openalex.org/F4320335777,National Key Research and Development Program of China,2022YFA1402801,,,,,,,,,,
1284,https://openalex.org/F4320338281,Army Research Office,W911NF-15-1-0447,,,,,,,,,,
184,https://openalex.org/F4320321001,National Natural Science Foundation of China,1221101035,,,,,,,,,,
185,https://openalex.org/F4320321885,Science and Technology Commission of Shanghai Municipality,20DZ2203600,,,,,,,,,,
179,https://openalex.org/F4320306084,U.S. Department of Energy,DE‐SC0018153,,,,,,,,,,
194,https://openalex.org/F4320321543,China Postdoctoral Science Foundation,BX2021331,,,,,,,,,,
188,https://openalex.org/F4320321001,National Natural Science Foundation of China,T2293691,,,,,,,,,,
189,https://openalex.org/F4320321001,National Natural Science Foundation of China,12004406,,,,,,,,,,
192,https://openalex.org/F4320321543,China Postdoctoral Science Foundation,2021M703338,,,,,,,,,,
183,https://openalex.org/F4320321001,National Natural Science Foundation of China,12074195,,,,,,,,,,
201,https://openalex.org/F4320335777,National Key Research and Development Program of China,2022YFA1402802,,,,,,,,,,
191,https://openalex.org/F4320321001,National Natural Science Foundation of China,22073048,,,,,,,,,,
186,https://openalex.org/F4320321001,National Natural Science Foundation of China,91964102,,,,,,,,,,
190,https://openalex.org/F4320321001,National Natural Science Foundation of China,51772317,,,,,,,,,,
197,https://openalex.org/F4320321001,National Natural Science Foundation of China,52161160334,,,,,,,,,,
2810,https://openalex.org/F4320338273,Congressionally Directed Medical Research Programs,W81XWH‐21‐1‐0053,,,,,,,,,,
5214,https://openalex.org/F4320332180,Defense Advanced Research Projects Agency,W911NF2020009,,,,,,,,,,
212,https://openalex.org/F4320338281,Army Research Office,W911NF‐19‐1‐0137,,,,,,,,,,
7728,https://openalex.org/F4320337531,"Defense Sciences Office, DARPA",HR00112090011,,,,,,,,,,
7729,https://openalex.org/F4320337531,"Defense Sciences Office, DARPA",HR0011047197,,,,,,,,,,
214,https://openalex.org/F4320306076,National Science Foundation,2122071,,,,,,,,,,
193,https://openalex.org/F4320322769,Natural Science Foundation of Jiangsu Province,BK20220872,,,,,,,,,,
227,https://openalex.org/F4320338281,Army Research Office,W911NF‐19‐S‐0008,,,,,,,,,,
248,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550‐22‐1‐0412,,,,,,,,,,
204,https://openalex.org/F4320321001,National Natural Science Foundation of China,12204089,,,,,,,,,,
236,https://openalex.org/F4320306076,National Science Foundation,DMR‐1719875,,,,,,,,,,
235,https://openalex.org/F4320338295,Army Research Laboratory,W911NF‐24‐2‐0100,,,,,,,,,,
234,https://openalex.org/F4320306202,Gordon and Betty Moore Foundation,GBMF8048,,,,,,,,,,
242,https://openalex.org/F4320334771,Science and Engineering Research Board,EEQ/2023/000089,,,,,,,,,,
215,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550‐22‐1‐0117,,,,,,,,,,
252,https://openalex.org/F4320322928,Danmarks Frie Forskningsfond,DFF 4181‐00206,,,,,,,,,,
7731,https://openalex.org/F4320337367,Division of Materials Research,DMR-1749730,,,,,,,,,,
237,https://openalex.org/F4320337480,Basic Energy Sciences,DE‐SC‐0012375,,,,,,,,,,
239,https://openalex.org/F4320338464,Natural Science Foundation of Zhejiang Province,2022XHSJJ006,,,,,,,,,,
233,https://openalex.org/F4320338281,Army Research Office,W911NF‐18‐1‐0431,,,,,,,,,,
209,https://openalex.org/F4320337538,U.S. Army Corps of Engineers,W912HZ‐21‐2‐0050,,,,,,,,,,
7732,https://openalex.org/F4320314731,UK Research and Innovation,MR/W006928/1,,,,,,,,,,
217,https://openalex.org/F4320306076,National Science Foundation,2145797,,,,,,,,,,
241,https://openalex.org/F4320338281,Army Research Office,W911NF‐21‐1‐0118,,,,,,,,,,
7733,https://openalex.org/F4320337480,Basic Energy Sciences,DE-SC0019356,,,,,,,,,,
243,https://openalex.org/F4320337367,Division of Materials Research,DMR‐2039380,,,,,,,,,,
7734,https://openalex.org/F4320321001,National Natural Science Foundation of China,CCF‐1723445,,,,,,,,,,
238,https://openalex.org/F4320338281,Army Research Office,W911NF‐21‐2‐0162,,,,,,,,,,
228,https://openalex.org/F4320306076,National Science Foundation,OIA‐2229498,,,,,,,,,,
244,https://openalex.org/F4320332169,Directorate for Computer and Information Science and Engineering,2138259,,,,,,,,,,
210,https://openalex.org/F4320306084,U.S. Department of Energy,DE‐AC05‐76RL01830,,,,,,,,,,
223,https://openalex.org/F4320338281,Army Research Office,W911NF1910340,,,,,,,,,,
224,https://openalex.org/F4320306076,National Science Foundation,1542205,,,,,,,,,,
206,https://openalex.org/F4320321001,National Natural Science Foundation of China,52125306,,,,,,,,,,
207,https://openalex.org/F4320337345,Office of Naval Research,N00014‐21‐1‐2181,,,,,,,,,,
203,https://openalex.org/F4320338281,Army Research Office,W911NF‐16‐1‐0472,,,,,,,,,,
208,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550‐22‐1‐0526,,,,,,,,,,
226,https://openalex.org/F4320306111,U.S. Department of Commerce,70NANB19H138,,,,,,,,,,
216,https://openalex.org/F4320306076,National Science Foundation,1906325,,,,,,,,,,
229,https://openalex.org/F4320321001,National Natural Science Foundation of China,12304089,,,,,,,,,,
230,https://openalex.org/F4320306076,National Science Foundation,DMR‐1411085,,,,,,,,,,
231,https://openalex.org/F4320338281,Army Research Office,W911NF16‐1‐0472,,,,,,,,,,
213,https://openalex.org/F4320337345,Office of Naval Research,N00014‐20‐1‐2297,,,,,,,,,,
8214,,dummytest,,,"[2024-09-19,2024-12-31)",,,,,,,,
251,https://openalex.org/F4320324099,Russian Science Foundation,19‐73‐20196,,,,,,,,,,
232,https://openalex.org/F4320337480,Basic Energy Sciences,FWP ERKCK47,,,,,,,,,,
2811,https://openalex.org/F4320338464,Natural Science Foundation of Zhejiang Province,LR21H280001,,,,,,,,,,
220,https://openalex.org/F4320306076,National Science Foundation,0521267,,,,,,,,,,
245,https://openalex.org/F4320306076,National Science Foundation,NSF‐2211616,,,,,,,,,,
246,https://openalex.org/F4320306076,National Science Foundation,NSF‐1954780,,,,,,,,,,
222,https://openalex.org/F4320306076,National Science Foundation,1720139,,,,,,,,,,
249,https://openalex.org/F4320327511,Development and Reform Commission of Shenzhen Municipality,XMHT20220106002,,,,,,,,,,
250,https://openalex.org/F4320329791,Shenzhen Fundamental Research Program,GXWD20201231165807007‐20200810113811001,,,,,,,,,,
221,https://openalex.org/F4320306076,National Science Foundation,1048773,,,,,,,,,,
218,https://openalex.org/F4320306076,National Science Foundation,2122070,,,,,,,,,,
253,https://openalex.org/F4320332180,Defense Advanced Research Projects Agency,HR0011‐23‐9‐0109,,,,,,,,,,
259,https://openalex.org/F4320321001,National Natural Science Foundation of China,11374192,,,,,,,,,,
255,https://openalex.org/F4320306076,National Science Foundation,2304946,,,,,,,,,,
256,https://openalex.org/F4320321001,National Natural Science Foundation of China,22301200,,,,,,,,,,
257,https://openalex.org/F4320333622,Fundamental Research Fund of Shandong University,2014QY008,,,,,,,,,,
258,https://openalex.org/F4320337345,Office of Naval Research,N00014‐17‐1‐2376,,,,,,,,,,
247,https://openalex.org/F4320320879,Deutsche Forschungsgemeinschaft,CRC/TRR 196,,,,,,,,,,
260,https://openalex.org/F4320321001,National Natural Science Foundation of China,11574183,,,,,,,,,,
261,https://openalex.org/F4320322725,China Scholarship Council,201806220156,,,,,,,,,,
225,https://openalex.org/F4320306076,National Science Foundation,DMR‐1810163,,,,,,,,,,
254,https://openalex.org/F4320310484,"Teknologi og Produktion, Det Frie Forskningsråd",9040‐00265,,,,,,,,,,
7735,https://openalex.org/F4320321001,National Natural Science Foundation of China,2238839,,,,,,,,,,
297,https://openalex.org/F4320306078,U.S. Department of Defense,CDMRP BCRP BC151081,,,,,,,,,,
313,https://openalex.org/F4320321001,National Natural Science Foundation of China,52171152,,,,,,,,,,
327,https://openalex.org/F4320324174,Natural Science Foundation of Shandong Province,ZR2022JQ09,,,,,,,,,,
311,https://openalex.org/F4320320292,Prostate Cancer UK,RIA22‐ST2‐006,,,,,,,,,,
304,https://openalex.org/F4320334506,Canadian Institutes of Health Research,173338,,,,,,,,,,
326,https://openalex.org/F4320337345,Office of Naval Research,N00014‐20‐1‐2110,,,,,,,,,,
280,https://openalex.org/F4320322120,National Research Foundation of Korea,NRF‐2021R1A6A3A13043651,,,,,,,,,,
281,https://openalex.org/F4320322120,National Research Foundation of Korea,NRF‐2021M3H4A1A04086552,,,,,,,,,,
268,https://openalex.org/F4320332161,National Institutes of Health,R21NS114455,,,,,,,,,,
270,https://openalex.org/F4320321001,National Natural Science Foundation of China,52103199,,,,,,,,,,
271,https://openalex.org/F4320332161,National Institutes of Health,R01CA266981,,,,,,,,,,
272,https://openalex.org/F4320321001,National Natural Science Foundation of China,31971302,,,,,,,,,,
273,https://openalex.org/F4320332161,National Institutes of Health,R35GM143014,,,,,,,,,,
274,https://openalex.org/F4320337351,National Cancer Institute,P30 CA016059,,,,,,,,,,
275,https://openalex.org/F4320306095,American Cancer Society,RSG‐22‐055‐01‐IBCD,,,,,,,,,,
276,https://openalex.org/F4320332161,National Institutes of Health,R01AI168684,,,,,,,,,,
282,https://openalex.org/F4320321001,National Natural Science Foundation of China,52202154,,,,,,,,,,
283,https://openalex.org/F4320326275,"Higher Education Commision, Pakistan",3‐1/PDFP/HEC/2022/1520(B‐2)/01,,,,,,,,,,
289,https://openalex.org/F4320306076,National Science Foundation,U19AG063744,,,,,,,,,,
285,https://openalex.org/F4320337345,Office of Naval Research,N000141812876,,,,,,,,,,
287,https://openalex.org/F4320306076,National Science Foundation,RF1AG057452,,,,,,,,,,
279,https://openalex.org/F4320322120,National Research Foundation of Korea,NRF‐2022M3H4A1A02046445,,,,,,,,,,
288,https://openalex.org/F4320306076,National Science Foundation,R01AG059093,,,,,,,,,,
290,https://openalex.org/F4320306076,National Science Foundation,FNIH: #DAOU16AMPA,,,,,,,,,,
291,https://openalex.org/F4320306076,National Science Foundation,RF1AG058942,,,,,,,,,,
292,https://openalex.org/F4320306076,National Science Foundation,U01AG061359,,,,,,,,,,
293,https://openalex.org/F4320306076,National Science Foundation,R01AG046171,,,,,,,,,,
294,https://openalex.org/F4320306076,National Science Foundation,RF1AG051550,,,,,,,,,,
298,https://openalex.org/F4320306078,U.S. Department of Defense,LCRP LC200368,,,,,,,,,,
267,https://openalex.org/F4320306076,National Science Foundation,CHE‐1834750,,,,,,,,,,
284,https://openalex.org/F4320306076,National Science Foundation,1538180,,,,,,,,,,
299,https://openalex.org/F4320337351,National Cancer Institute,R01CA101795,,,,,,,,,,
334,https://openalex.org/F4320306078,U.S. Department of Defense,CA180190,,,,,,,,,,
317,https://openalex.org/F4320306076,National Science Foundation,DMR–1611180,,,,,,,,,,
301,https://openalex.org/F4320329172,BC Cancer Foundation,1PRRG012,,,,,,,,,,
325,https://openalex.org/F4320306076,National Science Foundation,ECCS‐2036915,,,,,,,,,,
305,https://openalex.org/F4320334506,Canadian Institutes of Health Research,180554,,,,,,,,,,
306,https://openalex.org/F4320334506,Canadian Institutes of Health Research,153073,,,,,,,,,,
324,https://openalex.org/F4320306076,National Science Foundation,ECCS‐2230412,,,,,,,,,,
286,https://openalex.org/F4320338281,Army Research Office,W911NF‐20‐0093,,,,,,,,,,
309,https://openalex.org/F4320311169,Cancer Research Society,PIN‐840847,,,,,,,,,,
322,https://openalex.org/F4320337345,Office of Naval Research,N000142412104,,,,,,,,,,
312,https://openalex.org/F4320321001,National Natural Science Foundation of China,82125006,,,,,,,,,,
321,https://openalex.org/F4320334627,Engineering and Physical Sciences Research Council,EP/VO48686/1,,,,,,,,,,
323,https://openalex.org/F4320322320,King Abdullah University of Science and Technology,ORFS‐CRG11‐2022‐5045,,,,,,,,,,
302,https://openalex.org/F4320334506,Canadian Institutes of Health Research,175238,,,,,,,,,,
310,https://openalex.org/F4320334506,Canadian Institutes of Health Research,186331,,,,,,,,,,
314,https://openalex.org/F4320338281,Army Research Office,W911NF‐19‐2‐0049,,,,,,,,,,
278,https://openalex.org/F4320322120,National Research Foundation of Korea,NRF‐2021R1C1C2013475,,,,,,,,,,
316,https://openalex.org/F4320321001,National Natural Science Foundation of China,U24A2024,,,,,,,,,,
328,https://openalex.org/F4320337351,National Cancer Institute,3R01‐CA236814‐03S1,,,,,,,,,,
307,https://openalex.org/F4320332161,National Institutes of Health,P50CA097186,,,,,,,,,,
308,https://openalex.org/F4320334506,Canadian Institutes of Health Research,153081,,,,,,,,,,
315,https://openalex.org/F4320309893,City University of Hong Kong,9360161,,,,,,,,,,
330,https://openalex.org/F4320321001,National Natural Science Foundation of China,U22A20291,,,,,,,,,,
331,https://openalex.org/F4320321001,National Natural Science Foundation of China,82270218,,,,,,,,,,
5215,https://openalex.org/F4320306078,U.S. Department of Defense,AR170062,,,,,,,,,,
320,https://openalex.org/F4320338281,Army Research Office,W911NF‐13‐1‐0438,,,,,,,,,,
332,https://openalex.org/F4320321001,National Natural Science Foundation of China,81920108006,,,,,,,,,,
333,https://openalex.org/F4320337351,National Cancer Institute,U54CA272691‐01,,,,,,,,,,
295,https://openalex.org/F4320337351,National Cancer Institute,R44CA275489,,,,,,,,,,
318,https://openalex.org/F4320338281,Army Research Office,FA9550‐23‐1‐0503,,,,,,,,,,
269,https://openalex.org/F4320321001,National Natural Science Foundation of China,82102203,,,,,,,,,,
329,https://openalex.org/F4320337351,National Cancer Institute,1R01CA236814‐01A1,,,,,,,,,,
5216,https://openalex.org/F4320306076,National Science Foundation,2036359,,,,,,,,,,
5217,https://openalex.org/F4320338281,Army Research Office,W911NF2120128,,,,,,,,,,
376,https://openalex.org/F4320337349,NIH Office of the Director,DP5 OD019833,,,,,,,,,,
7736,https://openalex.org/F4320337345,Office of Naval Research,00010803,,,,,,,,,,
338,https://openalex.org/F4320322581,Vetenskapsrådet,2022‐01018,,,,,,,,,,
1287,https://openalex.org/F4320321001,National Natural Science Foundation of China,21991094,,,,,,,,,,
337,https://openalex.org/F4320337472,National Center for Advancing Translational Sciences,UL1 TR001873,,,,,,,,,,
345,https://openalex.org/F4320332161,National Institutes of Health,R01AG083941,,,,,,,,,,
381,https://openalex.org/F4320322581,Vetenskapsrådet,#2022‐00732,,,,,,,,,,
398,https://openalex.org/F4320332161,National Institutes of Health,U19‐AG074879,,,,,,,,,,
343,https://openalex.org/F4320306219,Alzheimer's Association,FAPESP13/08028‐1,,,,,,,,,,
383,https://openalex.org/F4320329730,UK Dementia Research Institute,UKDRI‐1003,,,,,,,,,,
385,https://openalex.org/F4320309944,Cure Alzheimer's Fund,EPIC4AD,,,,,,,,,,
384,https://openalex.org/F4320334506,Canadian Institutes of Health Research,#PJT 153287,,,,,,,,,,
344,https://openalex.org/F4320332161,National Institutes of Health,K08NS101118,,,,,,,,,,
372,https://openalex.org/F4320308990,BrightFocus Foundation,A2021015F,,,,,,,,,,
368,https://openalex.org/F4320332161,National Institutes of Health,RF1AG083753,,,,,,,,,,
365,https://openalex.org/F4320332161,National Institutes of Health,F32AG08483,,,,,,,,,,
352,https://openalex.org/F4320332161,National Institutes of Health,U01AG058635,,,,,,,,,,
369,https://openalex.org/F4320308990,BrightFocus Foundation,A2017458S,,,,,,,,,,
375,https://openalex.org/F4320332161,National Institutes of Health,7DP5OD028133,,,,,,,,,,
359,https://openalex.org/F4320332161,National Institutes of Health,T32 AG078110,,,,,,,,,,
349,https://openalex.org/F4320332161,National Institutes of Health,R01AG082362,,,,,,,,,,
361,https://openalex.org/F4320332161,National Institutes of Health,T32AG058518,,,,,,,,,,
341,https://openalex.org/F4320332161,National Institutes of Health,U19AG069701,,,,,,,,,,
346,https://openalex.org/F4320332161,National Institutes of Health,R56AG081417,,,,,,,,,,
347,https://openalex.org/F4320332161,National Institutes of Health,P30EY003790,,,,,,,,,,
360,https://openalex.org/F4320332161,National Institutes of Health,RF1AG046205,,,,,,,,,,
342,https://openalex.org/F4320306078,U.S. Department of Defense,W81XWH‐21‐1‐0093,,,,,,,,,,
355,https://openalex.org/F4320332161,National Institutes of Health,W81XWH2010934,,,,,,,,,,
351,https://openalex.org/F4320332161,National Institutes of Health,3RF1NS118558,,,,,,,,,,
348,https://openalex.org/F4320307132,Alzheimer's Drug Discovery Foundation,GC‐201711‐2014197,,,,,,,,,,
364,https://openalex.org/F4320332161,National Institutes of Health,T32AG05851804,,,,,,,,,,
356,https://openalex.org/F4320332161,National Institutes of Health,R01 AG068395,,,,,,,,,,
367,https://openalex.org/F4320306219,Alzheimer's Association,AARF‐20‐683984,,,,,,,,,,
350,https://openalex.org/F4320332161,National Institutes of Health,K24AG053435,,,,,,,,,,
371,https://openalex.org/F4320332161,National Institutes of Health,5R01AG070830,,,,,,,,,,
374,https://openalex.org/F4320308990,BrightFocus Foundation,A2022010F,,,,,,,,,,
362,https://openalex.org/F4320332161,National Institutes of Health,U54NS110435,,,,,,,,,,
370,https://openalex.org/F4320332161,National Institutes of Health,R56AG078733,,,,,,,,,,
354,https://openalex.org/F4320332161,National Institutes of Health,R01 AG081228,,,,,,,,,,
353,https://openalex.org/F4320332161,National Institutes of Health,1U19AG069701,,,,,,,,,,
366,https://openalex.org/F4320306219,Alzheimer's Association,23AARG‐1026607,,,,,,,,,,
363,https://openalex.org/F4320332161,National Institutes of Health,T32 GM008361,,,,,,,,,,
339,https://openalex.org/F4320332161,National Institutes of Health,R01AG66395,,,,,,,,,,
357,https://openalex.org/F4320332161,National Institutes of Health,K01AG062683,,,,,,,,,,
377,https://openalex.org/F4320322581,Vetenskapsrådet,#2017‐00915,,,,,,,,,,
380,https://openalex.org/F4320322581,Vetenskapsrådet,#2019‐02397,,,,,,,,,,
358,https://openalex.org/F4320332161,National Institutes of Health,RF1AG067194,,,,,,,,,,
392,https://openalex.org/F4320332161,National Institutes of Health,U01‐AG072177,,,,,,,,,,
379,https://openalex.org/F4320306219,Alzheimer's Association,SG‐23‐1038904QC,,,,,,,,,,
335,https://openalex.org/F4320322581,Vetenskapsrådet,2019‐02397,,,,,,,,,,
