oid,name,eid,amount,year,country,herddod,herddoe,herdhhs,herdnasa,herdnsf,herdusda,herdfedother,herdstate,herdinst,herdbusi,herdnonprof,herdallother
46,"University at Albany, State University of New York",217432,"$36,685.00",2022,USA,,,,,,,,,,,,
55,Nassau Community College,216656,$495.00,2022,USA,,,,,,,,,,,,
54,Syracuse University,218604,"$31,557.00",2022,USA,,,,,,,,,,,,
57,Touro College,128854,"$1,626.00",2022,USA,,,,,,,,,,,,
66,"York College, City University of New York",114242,"$2,167.00",2022,USA,,,,,,,,,,,,
68,Bennett College,200906,$293.00,2022,USA,,,,,,,,,,,,
11691,Washburn University,222015,"$400,000.00",2023,USA,,,,,,,,,,,,
8921,Worcester Polytechnic Institute,218859,"$17,125,000.00",2021,USA,"$8,391,000.00","$2,733,000.00","$4,175,000.00","$348,000.00","$10,889,000.00","$301,000.00","$3,329,000.00","$1,262,000.00","$9,301,000.00","$3,296,000,000.00","$2,533,000,000.00","$2,144,000,000.00"
9296,Roger Williams University,195459,"$302,000.00",2021,USA,"$17,000.00",$0.00,"$273,000.00",$0.00,"$469,000.00","$103,000.00","$340,000.00","$34,000.00","$460,000.00","$11,000,000.00","$147,000,000.00",$0.00
9491,University of Wisconsinâ€“Eau Claire,114216,"$266,000.00",2021,USA,$0.00,"$65,000.00","$233,000.00","$19,000.00","$592,000.00",$0.00,$0.00,"$410,000.00","$308,000.00","$83,000,000.00","$139,000,000.00","$3,000,000.00"
14220,Claremont School of Theology,214751,,2021,USA,,,,,,,,$0.00,"$313,000.00",$0.00,"$151,000,000.00",$0.00
149,Oregon State University,222153,"$137,548.00",2022,USA,"$19,049,000.00","$17,862,000.00","$28,146,000.00","$6,492,000.00","$52,117,000.00","$38,302,000.00","$30,653,000.00","$50,654,000.00","$28,792,000.00","$8,037,000,000.00","$2,772,000,000.00","$15,058,000,000.00"
82,North Carolina State University,219816,"$150,115.00",2022,USA,"$32,063,000.00","$28,484,000.00","$51,694,000.00","$2,512,000.00","$56,206,000.00","$51,000,000.00","$28,623,000.00","$130,707,000.00","$145,171,000.00","$52,960,000,000.00","$3,451,000,000.00","$332,000,000.00"
109,Case Western Reserve University,218641,"$338,477.00",2022,USA,"$17,244,000.00","$7,513,000.00","$340,332,000.00","$3,629,000.00","$10,859,000.00","$406,000.00","$440,000.00","$6,503,000.00","$53,133,000.00","$4,856,000,000.00","$20,142,000,000.00","$2,332,000,000.00"
91,Wake Forest University,218441,"$149,085.00",2022,USA,"$9,627,000.00","$457,000.00","$164,717,000.00","$888,000.00","$3,013,000.00","$157,000.00","$1,895,000.00","$9,209,000.00","$26,816,000.00","$22,212,000,000.00","$21,022,000,000.00","$9,096,000,000.00"
139,Oklahoma State University,195383,"$55,321.00",2022,USA,"$5,213,000.00","$6,002,000.00","$9,918,000.00","$2,981,000.00","$12,305,000.00","$11,972,000.00","$5,494,000.00","$21,322,000.00","$106,925,000.00","$11,236,000,000.00","$1,351,000,000.00","$322,000,000.00"
130,University of Dayton,217742,"$19,301.00",2022,USA,"$192,587,000.00","$1,209,000.00","$969,000.00","$546,000.00","$1,190,000.00","$8,000.00","$6,697,000.00","$756,000.00","$853,000.00","$5,620,000,000.00","$408,000,000.00","$651,000,000.00"
111,Cleveland State University,217630,"$8,363.00",2022,USA,"$3,686,000.00","$289,000.00","$46,611,000.00","$210,000.00","$1,608,000.00","$14,000.00","$977,000.00","$848,000.00","$18,497,000.00","$3,481,000,000.00","$4,812,000,000.00","$192,000,000.00"
103,North Dakota State University,210887,"$38,426.00",2022,USA,"$2,523,000.00","$28,294,000.00","$19,368,000.00","$2,507,000.00","$3,911,000.00","$1,919,000.00","$4,215,000.00",,,,,
122,Ohio University,206351,"$16,483.00",2022,USA,"$1,268,000.00","$4,255,000.00","$6,917,000.00","$471,000.00","$2,983,000.00","$247,000.00","$4,446,000.00","$1,035,000.00","$26,187,000.00","$3,634,000,000.00","$634,000,000.00","$388,000,000.00"
7602,Michigan State University,217558,,2024,USA,"$24,202,000.00","$157,791,000.00","$133,190,000.00","$5,001,000.00","$67,810,000.00","$43,072,000.00","$43,696,000.00","$47,478,000.00","$338,809,000.00","$26,590,000,000.00","$21,677,000,000.00","$22,532,000,000.00"
99,North Dakota State University,210887,"$35,536.00",2022,USA,"$2,523,000.00","$28,294,000.00","$19,368,000.00","$2,507,000.00","$3,911,000.00","$1,919,000.00","$4,215,000.00",,,,,
105,U.S. Air Force Institute of Technology,222552,"$1,000.00",2022,USA,"$29,403,000.00","$207,000.00",$0.00,"$18,000.00","$65,000.00",$0.00,"$2,786,000.00",$0.00,"$11,869,000.00","$43,000,000.00",$0.00,$0.00
