"AID","name","orcid","hindex","i10index","_affilliation","_afilldaterange","_afillEID","flagged","openalexid"
"120448","Yu Du","https://orcid.org/0000-0002-3265-8515",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5067388487"
"120449","Boris I. Yakobson","https://orcid.org/0000-0001-8369-3567",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5003665485"
"120450","Bijie Bai","https://orcid.org/0000-0002-4744-996X",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5038236181"
"120451","Heming Wei","https://orcid.org/0000-0002-8023-7109",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5069520740"
"120452","Xilin Yang","https://orcid.org/0000-0002-6954-9662",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5090234128"
"120453","Tianyi Gan","https://orcid.org/0000-0001-8675-0053",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5067997541"
"120454","Deniz Mengü","https://orcid.org/0000-0003-1051-1501",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5089047677"
"120455","Mona Jarrahi","https://orcid.org/0000-0001-9514-555X",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5003547576"
"120456","Aydogan Özcan","https://orcid.org/0000-0002-0717-683X",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5016207990"
"120457","Kaikai Ma","https://orcid.org/0000-0003-0414-4397",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5067483351"
"120458","Yuk Ha Cheung",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5007839774"
"120459","Kent O. Kirlikovali","https://orcid.org/0000-0001-8329-1015",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5065187288"
"120460","Haomiao Xie","https://orcid.org/0000-0001-7688-6571",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5048998025"
"120461","Karam B. Idrees","https://orcid.org/0000-0002-9603-3952",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5034834605"
"120462","Xiaoliang Wang","https://orcid.org/0000-0002-6501-1136",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5045738676"
"120463","Timur İslamoğlu","https://orcid.org/0000-0003-3688-9158",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5012548993"
"120464","John H. Xin","https://orcid.org/0000-0001-9965-7421",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5100783200"
"120465","Omar K. Farha","https://orcid.org/0000-0002-9904-9845",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5017714289"
"120466","Safa Shoaee","https://orcid.org/0000-0001-5754-834X",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5021948687"
"120467","Hoang Mai Luong","https://orcid.org/0000-0002-7792-4274",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5075209987"
"120468","Jiage Song","https://orcid.org/0000-0002-7630-3927",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5024882109"
