"EID","name","namenative","rorid","city","_types","_aliases","wikiurl","establishedyear","geonamesid","countrycode","countryname","grid","_wikidataid","_childror","_parentror","_relatedror","_latlong","status","_acronyms","_links","_predror","_succror","_isni","flagged","openalexid","flatparent","openalexfid","_childid","_parentid","_relatedid"
"121749","Defense Advanced Research Projects Agency",NULL,"https://ror.org/02caytj08","Arlington","{FED-DOD}","{""Advanced Research Projects Agency""}","https://en.wikipedia.org/wiki/DARPA",1958,4744709,"US","United States","grid.421816.8",NULL,"{}","{https://ror.org/00q4sx826}","{}","{38.88101,-77.10428}","active","{ARPA,"" DARPA""}","{http://www.darpa.mil/}","{}","{}","{""0000 0000 9580 5207""}",NULL,"https://openalex.org/I1280581677","https://ror.org/00q4sx82","https://openalex.org/F4320332180",NULL,"{https://openalex.org/I1296703163}",NULL
"197243","Defense Security Cooperation Agency",NULL,"https://ror.org/049zppa02","Washington","{FED-DOD}","{""Defense Security Assistance Agency""}","https://en.wikipedia.org/wiki/Defense_Security_Cooperation_Agency",1961,4140963,"US","United States","grid.473588.5",NULL,"{}","{https://ror.org/00q4sx826,https://ror.org/0447fe631}","{}","{38.89511,-77.03637}","active","{DSCA}","{http://www.dsca.mil/}","{}","{}","{""0000 0004 0404 8183""}",NULL,"https://openalex.org/I2799548816","https://ror.org/0447fe631","https://openalex.org/F4320334259",NULL,"{https://openalex.org/I1296703163,https://openalex.org/I1330347796}",NULL
"224605","United States Army Corps of Engineers",NULL,"https://ror.org/05w4e8v21","Washington","{FED-DOD}","{""""}","https://en.wikipedia.org/wiki/United_States_Army_Corps_of_Engineers",1775,4140963,"US","United States","grid.431335.3",NULL,"{https://ror.org/027mhn368}","{https://ror.org/035w1gb98}","{}","{38.89511,-77.03637}","active","{CoE,"" USACE""}","{http://www.usace.army.mil/}","{}","{}","{""0000 0004 0582 4666""}",NULL,"https://openalex.org/I1306490931","https://ror.org/035w1gb9","https://openalex.org/F4320337538","{https://openalex.org/I87303767}","{https://openalex.org/I1304082316}",NULL
"197170","National Security Agency",NULL,"https://ror.org/0047bvr32","Fort Meade","{FED-DOD}","{""""}","https://en.wikipedia.org/wiki/National_Security_Agency",1952,7257909,"US","United States","grid.482831.4",NULL,"{}","{https://ror.org/0447fe631}","{}","{39.10815,-76.74323}","active","{NSA}","{https://www.nsa.gov/}","{}","{}","{""0000 0001 2185 2745""}",NULL,"https://openalex.org/I130440993","https://ror.org/0447fe631","https://openalex.org/F4320311089",NULL,"{https://openalex.org/I1330347796}",NULL
"224571","United States Army",NULL,"https://ror.org/00afsp483","Arlington","{FED-DOD}","{""""}","https://en.wikipedia.org/wiki/United_States_Army",1775,4744709,"US","United States","grid.420176.6",NULL,"{https://ror.org/02jakbh21,https://ror.org/01jepya76}","{https://ror.org/035w1gb98}","{https://ror.org/04r3kq386}","{38.88101,-77.10428}","active","{USA}","{http://www.army.mil/}","{}","{}","{""""}",NULL,"https://openalex.org/I4210088792","https://ror.org/035w1gb98;","https://openalex.org/F4320332447","{https://openalex.org/I181559820,https://openalex.org/I192545095}","{https://openalex.org/I1304082316}","{https://openalex.org/I148314036}"
"205608","Defense Forensics and Biometrics Agency",NULL,"https://ror.org/00wa40650","Charlotte","{FED-DOD}","{""Biometrics Identity Management Agency"","" Field Operating Agency""}",NULL,2012,4460243,"US","United States","grid.478467.e",NULL,"{}","{https://ror.org/035w1gb98}","{}","{35.22709,-80.84313}","active","{""""}","{http://www.dfba.mil/}","{}","{}","{""""}",NULL,"https://openalex.org/I4210105214","https://ror.org/035w1gb9","https://openalex.org/F4320332954",NULL,"{https://openalex.org/I1304082316}",NULL
"145987","Defense Logistics Agency",NULL,"https://ror.org/001yrmh12","Fort Belvoir","{FED-DOD}","{""""}","https://en.wikipedia.org/wiki/Defense_Logistics_Agency",1961,7257902,"US","United States","grid.453336.4",NULL,"{}","{https://ror.org/00q4sx826,https://ror.org/0447fe631}","{}","{38.7119,-77.14589}","active","{DLA}","{http://www.dla.mil/Pages/default.aspx}","{}","{}","{""0000 0004 0404 8052""}",NULL,"https://openalex.org/I1281833594","https://ror.org/0447fe631","https://openalex.org/F4320332263",NULL,"{https://openalex.org/I1296703163,https://openalex.org/I1330347796}",NULL
"208442","U.S. Army Research Institute for the Behavioral and Social Sciences",NULL,"https://ror.org/03bq05s23","Fort Belvoir","{FED-DOD}","{""United States Army Research Institute for the Behavioral and Social Sciences""}",NULL,1917,7257902,"US","United States","grid.483751.c",NULL,"{}","{}","{}","{38.7119,-77.14589}","active","{ARI}","{https://ari.altess.army.mil}","{}","{}","{""0000 0000 9813 7216""}",NULL,"https://openalex.org/I4210140172",NULL,"https://openalex.org/F4320337630",NULL,"{https://openalex.org/I1304082316}",NULL
"208548","Defense Threat Reduction Agency",NULL,"https://ror.org/04tz64554","Fort Belvoir","{FED-DOD}","{""""}","https://en.wikipedia.org/wiki/Defense_Threat_Reduction_Agency",1998,7257902,"US","United States","grid.452918.3",NULL,"{https://ror.org/04n07f274}","{https://ror.org/00q4sx826,https://ror.org/0447fe631}","{}","{38.7119,-77.14589}","active","{DTRA}","{http://www.dtra.mil/}","{}","{}","{""0000 0001 0694 2857""}",NULL,"https://openalex.org/I1331871522","https://ror.org/0447fe631","https://openalex.org/F4320332186","{https://openalex.org/I4388891755}","{https://openalex.org/I1296703163,https://openalex.org/I1330347796}",NULL
"197438","Missile Defense Agency",NULL,"https://ror.org/024z17f57","Fort Belvoir","{FED-DOD}","{""""}","https://en.wikipedia.org/wiki/Missile_Defense_Agency",2002,7257902,"US","United States","grid.463240.7",NULL,"{}","{https://ror.org/00q4sx826,https://ror.org/0447fe631}","{}","{38.7119,-77.14589}","active","{MDA}","{http://www.mda.mil/}","{}","{}","{""0000 0004 0405 0312""}",NULL,"https://openalex.org/I1306997873","https://ror.org/0447fe631","https://openalex.org/F4320332264",NULL,"{https://openalex.org/I1296703163,https://openalex.org/I1330347796}",NULL
